case,bytes,payload_hex,response,rtt_ms_mean,rtt_ms_std,ok_count,fault_count,main_fault
F1_invalid_opcode,2,ff01,0a0200,3.136,0.339,0,30,10
F2_bad_varint,2,1e80,0d0000,3.111,0.313,0,30,13
F3_stack_overflow,11,0f000a1100000b11000052,160600,4.209,0.285,0,30,22
F4_locals_oob,6,1e0220f40352,050500,3.487,0.330,0,30,5
F5_unauthorized_iow,6,1e0246fa0152,0e0500,3.522,0.296,0,30,14
F6_step_limit,2,6401,0b0000,68.947,0.349,0,30,11
F7_call_depth,128,0f000a1100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100000b11000052,160600,14.690,0.302,0,30,22
