case,bytes,payload_hex,response,rtt_ms_mean,rtt_ms_std,ok_count,fault_count,main_fault
F1_invalid_opcode,2,ff01,000101,3.154,0.300,30,0,
F2_bad_varint,2,1e80,000001,3.106,0.292,30,0,
F3_stack_overflow,11,0f000a1100000b11000052,00a19c0101,182.003,0.391,30,0,
F4_locals_oob,6,1e0220f40352,000301,3.508,0.320,30,0,
F5_unauthorized_iow,6,1e0246fa0152,000301,3.554,0.297,30,0,
F6_step_limit,2,6401,000101,3.144,0.291,30,0,
F7_call_depth,128,0f000a1100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100001100000b11000052,00a19c0101,192.286,0.359,30,0,
